AnnoMese,Postazione,Giorno,N Giorno Settimana,Strada,Transiti - Totale,Transiti - Non Classificato,Transiti - Leggeri,Transiti - Pesanti,Transiti - Diurno,Transiti - Notturno,Transiti - Feriali,Transiti - Festivi
2019/06,6,29/06/2019,6,SS 12 tra Fiumalbo e Abetone,3079,10,3052,26,2373,706,0,3079
2019/06,6,30/06/2019,7,SS 12 tra Fiumalbo e Abetone,3719,00,3694,25,3052,667,0,3719
2019/06,7,29/06/2019,6,SS 64 tra Porretta Terme e Sambuca Pistoiese,9257,10,9134,122,7054,2203,0,9257
2019/06,7,30/06/2019,7,SS 64 tra Porretta Terme e Sambuca Pistoiese,9403,00,9352,51,6636,2767,0,9403
2019/06,9,29/06/2019,6,SS 67 tra Rocca San Casciano e Portico San Benedetto,1918,10,1869,48,1519,399,0,1918
2019/06,9,30/06/2019,7,SS 67 tra Rocca San Casciano e Portico San Benedetto,2660,20,2645,13,2027,633,0,2660
2019/06,16,29/06/2019,6,SP 69 in località Pilastri al Confine regionale,1916,00,1794,122,1321,595,0,1916
2019/06,16,30/06/2019,7,SP 69 in località Pilastri al Confine regionale,1731,00,1650,81,1035,696,0,1731
2019/06,19,29/06/2019,6,SP 343R tra Colorno e Casalmaggiore,8846,00,8483,363,6047,2799,0,8846
2019/06,19,30/06/2019,7,SP 343R tra Colorno e Casalmaggiore,7603,00,7477,126,4738,2865,0,7603
2019/06,25,29/06/2019,6,SS 9 tra San Prospero (Case Crostolo) e Sant'Ilario d'Enza,26136,10,25468,667,17060,9076,0,26136
2019/06,25,30/06/2019,7,SS 9 tra San Prospero (Case Crostolo) e Sant'Ilario d'Enza,20682,30,20542,137,11955,8727,0,20682
2019/06,29,29/06/2019,6,SS 9 tra Modena e Rubiera,22439,00,22003,436,14425,8014,0,22439
2019/06,29,30/06/2019,7,SS 9 tra Modena e Rubiera,18478,00,18308,170,11135,7343,0,18478
2019/06,52,29/06/2019,6,SP 253 tra Sesto Imolese e Medicina,11737,00,11264,473,9835,1902,0,11737
2019/06,52,30/06/2019,7,SP 253 tra Sesto Imolese e Medicina,10434,00,10227,207,6154,4280,0,10434
2019/06,53,29/06/2019,6,SS 309 a San Giuseppe di Comacchio,14449,00,13381,1068,9537,4912,0,14449
2019/06,53,30/06/2019,7,SS 309 a San Giuseppe di Comacchio,13850,00,13407,443,8619,5231,0,13850
2019/06,95,29/06/2019,6,SP 10R tra Castel San Giovanni e Sarmato,,,,,,,,
2019/06,95,30/06/2019,7,SP 10R tra Castel San Giovanni e Sarmato,,,,,,,,
2019/06,98,29/06/2019,6,SP 302R tra Brisighella e Marradi,3718,00,3660,58,2660,1058,0,3718
2019/06,98,30/06/2019,7,SP 302R tra Brisighella e Marradi,4097,00,4076,21,2873,1224,0,4097
2019/06,100,29/06/2019,6,SP 258R tra Villa Verucchio ed ex Confine regionale (località Dogana),14035,00,13714,321,9631,4404,0,14035
2019/06,100,30/06/2019,7,SP 258R tra Villa Verucchio ed ex Confine regionale (località Dogana),13744,00,13618,126,9037,4707,0,13744
2019/06,104,29/06/2019,6,SP 10 nuovo ponte sul Po tra innesto variante Zibello e confine regionale (Lombardia),3138,00,2867,271,2102,1036,0,3138
