ID,SCS1,ICAR16,Task_Decontextualized,Task_Replication,Task_FeatureAddition,VibesSum,Essay,LLMExperience,QuizFirst
1,0.83,0.56,0.42,0.56,0.67,0.55,0.67,5.00,TRUE
2,0.50,0.50,0.50,0.56,0.50,0.52,0.65,4.00,TRUE
3,0.08,0.31,0.00,0.00,0.00,0.00,0.65,5.00,TRUE
4,0.33,0.56,0.00,0.33,0.50,0.28,0.76,5.00,TRUE
5,0.50,0.50,0.58,0.67,0.50,0.58,0.82,4.00,FALSE
6,0.33,0.75,0.58,0.00,0.50,0.36,0.64,5.00,FALSE
7,0.42,0.44,0.58,0.11,0.50,0.40,0.73,5.00,FALSE
8,0.50,0.63,0.33,0.56,0.33,0.41,0.77,5.00,TRUE
9,0.50,0.63,0.00,0.00,0.33,0.11,0.76,4.00,TRUE
10,0.92,1.00,0.58,0.56,0.50,0.55,0.69,3.00,TRUE
11,0.17,0.50,0.17,0.00,0.50,0.22,0.80,5.00,TRUE
12,0.67,0.38,0.00,0.44,0.50,0.31,0.75,4.00,TRUE
13,0.33,0.56,0.67,0.44,0.83,0.65,0.81,3.00,TRUE
14,0.58,0.75,0.50,1.00,0.50,0.67,0.76,5.00,TRUE
15,1.00,0.94,0.50,0.22,0.67,0.46,0.76,4.00,TRUE
16,0.75,0.69,0.58,0.44,0.83,0.62,0.74,5.00,TRUE
17,0.42,0.81,0.00,0.33,0.50,0.28,0.74,5.00,FALSE
18,0.67,0.50,0.42,0.33,0.50,0.42,0.72,5.00,FALSE
19,0.17,0.38,0.00,0.44,0.50,0.31,0.73,5.00,FALSE
20,0.67,0.56,0.17,0.22,0.50,0.30,0.80,5.00,FALSE
21,0.33,0.44,0.00,0.56,0.50,0.35,0.39,5.00,FALSE
22,1.00,1.00,0.67,1.00,0.83,0.83,0.79,4.00,FALSE
23,0.92,0.63,0.08,0.89,0.50,0.49,0.77,3.00,FALSE
24,0.33,0.44,0.50,0.67,0.50,0.56,0.68,4.00,FALSE
25,0.50,0.50,0.67,0.33,0.50,0.50,0.71,5.00,FALSE
26,0.33,0.56,0.17,0.00,0.67,0.28,0.51,5.00,FALSE
27,0.58,0.75,0.50,0.56,0.50,0.52,0.84,4.00,TRUE
28,0.83,0.88,0.08,1.00,0.50,0.53,0.73,5.00,TRUE
29,0.08,0.38,0.50,0.44,1.00,0.65,0.69,3.00,TRUE
30,0.33,0.50,0.33,0.11,0.67,0.37,0.78,5.00,TRUE
31,0.42,0.75,0.25,0.56,0.50,0.44,0.76,4.00,TRUE
32,0.25,0.19,0.00,0.00,0.00,0.00,0.33,5.00,TRUE
33,0.58,0.63,0.25,0.33,0.00,0.19,0.77,5.00,TRUE
34,0.75,0.38,0.50,1.00,0.83,0.78,0.73,5.00,TRUE
35,0.83,0.56,0.50,1.00,0.50,0.67,0.73,5.00,TRUE
36,0.33,0.63,0.50,0.56,0.33,0.46,0.74,4.00,TRUE
37,0.33,0.44,0.00,0.22,0.33,0.19,0.77,5.00,TRUE
38,0.92,0.25,0.00,0.44,0.67,0.37,0.54,5.00,TRUE
39,0.58,0.56,0.00,0.44,0.67,0.37,0.78,5.00,TRUE
40,0.42,0.38,0.58,0.44,0.67,0.56,0.78,4.00,FALSE
41,0.33,0.56,0.00,0.00,0.33,0.11,0.68,5.00,FALSE
42,0.25,0.56,0.42,1.00,0.33,0.58,0.80,4.00,FALSE
43,0.75,0.81,0.67,0.22,0.50,0.46,0.75,5.00,FALSE
44,0.75,0.50,0.42,0.78,0.67,0.62,0.72,2.00,FALSE
45,0.92,0.50,0.42,0.89,0.83,0.71,0.30,5.00,FALSE
46,0.17,0.56,0.50,0.22,0.83,0.52,0.71,3.00,FALSE
47,0.83,0.56,0.00,0.78,0.33,0.37,0.67,4.00,FALSE
48,0.67,0.75,0.08,1.00,0.50,0.53,0.84,5.00,FALSE
49,0.50,0.63,0.33,0.44,0.50,0.43,0.81,5.00,FALSE
50,0.75,0.25,0.08,0.00,0.33,0.14,0.79,5.00,FALSE
51,0.42,0.25,0.00,0.00,0.33,0.11,0.73,5.00,FALSE
52,0.33,0.81,0.83,0.00,0.67,0.50,0.76,5.00,TRUE
53,0.33,0.56,0.75,1.00,0.50,0.75,0.80,5.00,TRUE
54,0.50,0.75,0.42,0.44,0.33,0.40,0.78,5.00,TRUE
55,0.33,0.69,0.00,0.00,0.50,0.17,0.73,4.00,TRUE
56,0.92,0.81,0.50,0.67,0.83,0.67,0.95,4.00,TRUE
57,0.17,0.38,0.42,1.00,0.50,0.64,0.78,5.00,TRUE
58,0.33,0.63,0.00,0.67,0.50,0.39,0.79,3.00,TRUE
59,0.17,0.50,0.42,0.44,0.33,0.40,0.70,3.00,TRUE
60,0.42,0.63,0.42,0.22,1.00,0.55,0.71,4.00,TRUE
61,0.25,0.44,0.58,0.67,1.00,0.75,0.65,4.00,TRUE
62,0.83,0.69,0.67,0.67,1.00,0.78,0.77,5.00,TRUE
63,0.75,0.69,0.58,0.56,0.67,0.60,0.79,3.00,TRUE
64,0.33,0.56,0.00,0.33,0.67,0.33,0.76,5.00,FALSE
65,0.92,0.63,0.50,1.00,0.33,0.61,0.58,5.00,FALSE
66,0.33,0.44,0.00,0.44,0.00,0.15,0.30,5.00,FALSE
67,0.42,0.63,0.25,0.33,0.50,0.36,0.65,5.00,FALSE
68,0.75,0.56,0.00,0.00,0.67,0.22,0.60,5.00,FALSE
69,0.67,0.63,0.50,0.67,0.50,0.56,0.76,4.00,FALSE
70,0.50,0.69,0.67,0.89,0.33,0.63,0.79,5.00,FALSE
